id,title,number_of_ingredients,ingredients,instructions,image,user_id,cook_time,description
1,Apple Spice Oatmeal,2 cups;1 cup;⅛ teaspoon;1;⅛ teaspoon;1 Tablespoon;⅛ teaspoon,Non-fat milk;oats;salt;apple;cinnamon;sugar;nutmeg,"Bring the milk or water to a boil in a saucepan.;Add the oats, salt and apple. Cook over medium heat for 1 minute if using quick-cooking oats or 7 to 10 minutes if using old fashioned oats. Stir a couple of times while cooking.;Remove from heat. Stir in cinnamon, brown sugar and nutmeg, if desired.",https://www.allrecipes.com/thmb/T5hMqcvQRUj-m2tDTe6zaqVnnYo=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/79828apple-cinnamon-oatmealKimvideo-dec32b2375e54aefa7258394a878fa61.jpg,1,10 minutes,"Warm and comforting, this apple spice oatmeal is packed with tender apples, cinnamon, and a touch of nutmeg—perfect for cozy mornings."
2,Pancakes,1¼ cups;1 Tablespoon;1 Tablespoon;¼ teaspoon;¼ teaspoon;1;1 cup;2 Tablespoon;1 teaspoon,all-purpose flour;baking powder;sugar;salt;spice;egg;non-fat milk;vegetable oil;vanilla,"Mix together the flour, baking powder, sugar and salt in a medium bowl. Add the spice, if desired.;In a separate bowl, beat the egg until well blended. Add the milk and oil. Add the vanilla, if desired.;Add the dry ingredients to the liquids and stir just until the lumps disappear.;Lightly grease and preheat a large skillet over medium- high heat. The skillet is hot enough when a few drops of water sprinkled on it skitter and bounce around.;Pour ¼ cup of batter per pancake onto the hot skillet. Cook until bubbles come to the surface of the pancake and the edges start to look dry. Turn over. Cook until cooked through and the bottom is golden brown.",,1,5 minutes,"Fluffy, golden, and irresistibly soft, these classic pancakes are a breakfast favorite that pairs perfectly with syrup, fruit, or your favorite toppings."
3,Popeye Power Smoothie,1 cup;½ cup;½ cup;1 banana;2 cups;2 cups,orange juice;pineapple juice;yogurt;banana;spinach leaves;ice,Combine all ingredients in a blender.;Blend until smooth and serve.,https://www.allrecipes.com/thmb/d6WK4in0NdJYRd9LmlwKUlwicsk=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/237000-green-power-mojito-smoothie-Yoly-4x3-942be55f7f634dc39800b1401adbc00b.jpg,1,10 minutes,"Refreshing and nutritious, this smoothie blends fresh fruits and a hint of sweetness into a creamy, energizing drink you can enjoy anytime."
5,Whole Wheat Blueberry Muffins,1½ cups;½ cup;½ teaspoon;2 teaspoons;1;⅓ cup;⅓ cup;½ cup;2,whole-wheat flour;sugar;salt;baking powder;egg;vegetable oil; non-fat milk;applesauce;blueberries,"Preheat oven to 400 degrees F. Lightly grease the bottom of 12 muffin cups.;Mix the flour, sugar, salt and baking powder in a large bowl.;In a separate bowl, blend the beaten egg, oil, milk and applesauce until smooth.;Stir the liquids into the dry ingredients until just moistened. Lightly stir in the blueberries.;Fill each muffin cup about ¾ full.;Bake about 20 minutes, or until the muffin tops are golden brown. A toothpick inserted into the center of the muffin should come out moist but without batter.",,1,20 minutes,"Delicately crisp on the outside and tender inside, these buttermilk scones are buttery and lightly sweet—ideal for breakfast or teatime."
6,Banana Oatmeal Cookies,2;1 cup;½ teaspoon;½ teaspoon;½ cup,banana;oats;cinnamon;vanilla;raisins,"Preheat oven to 350 degrees F.;In a medium bowl, mash the bananas with a fork until mostly smooth.;Add the remaining ingredients. Mix well.;Drop spoonfuls of dough onto a lightly greased baking sheet. Flatten each cookie with the back of the fork.;Bake 10 to 15 minutes until the edges of the cookies are set. Remove from the oven and let cool before serving. Texture will be best when freshly made.",,1,15 minutes,"Moist and bursting with juicy blueberries, these muffins are a bakery-style treat that’s easy to make and perfect for on-the-go mornings."
7,Blueberry Bling,3 cups;2 teaspoons;1 Tablespoon;1 Tablespoon;½ teaspoon;½ cup,blueberries;margarine;all-purpose flour;sugar;cinnamon;oats,"Preheat oven to 375 degrees F.;If using fresh blueberries, wash and drain them. Put the fresh or frozen blueberries in a 9-inch pie plate or an 8"" x 8"" baking dish.;In a small bowl, use a fork to mix the remaining ingredients.;Sprinkle the oat mixture over the blueberries.;Bake about 25 minutes. Enjoy while warm!",https://eatgathergo.org/wp-content/uploads/2021/03/Blueberry%E2%80%9AA%CC%88i%CC%80Bling_vertical.jpg,1,25 minutes,"Chewy, wholesome, and naturally sweet, these banana oatmeal cookies are a delicious way to use ripe bananas—perfect for a healthy snack or breakfast treat."
8,Breakfast Banana Split,1;½ cup;½ cup;½ teaspoon;½ cup,banana;oats;yogurt;honey;pineapple,"Peel the banana and split it lengthwise. Place the halves in two separate cereal bowls.;Over each banana spoon yogurt, sprinkle cereal and drizzle honey, if desired.;Top with pineapple and serve.",https://fountainavenuekitchen.com/wp-content/uploads/2017/07/breakfast-banana-split1.jpg,1,5 minutes,"A vibrant twist on a fruity favorite, Blueberry Bling is a dazzling mix of blueberries and creamy goodness, topped with a sprinkle of sparkle (and maybe granola!) for a show-stopping snack or dessert."
9,Vegetable and Beef Skillet Meal,½ pound;¾ cup;1 cup;1 can;1½ cups;1¾ cups;1½ teaspoons;1 Tablespoon;1 teaspoon;½ cup,ground beef;onion;rice;tomatoes;vegetables;water;chili powder;oregano;salt;cheese,"Cook beef in a large skillet over medium-high heat until no longer pink. Drain fat.;Add onion and cook until soft, about 3 to 5 minutes.;Add rice, tomatoes, vegetables, water and spices. Stir and bring to a boil.;Reduce heat to medium low. Cover, and simmer for 20 minutes or until rice is cooked. Add more water if needed.;Remove from heat. Sprinkle with cheese and cover for 1 to 2 minutes to allow cheese to melt. Serve warm.",https://www.theroastedroot.net/wp-content/uploads/2018/08/vegetable-and-ground-beef-skillet-7.jpg,1,40 minutes,"A fun and nutritious start to your day, this breakfast banana split layers fresh fruit, yogurt, and granola for a playful, protein-packed twist on the classic treat."
10,Southwestern Stuffed Potatoes,2;1 cup;¾ cup;1 cup;½ cup,potatoes;black beans;salsa;corn;cheese,"Scrub the potatoes well. Poke each with a fork 2 or 3 times. Microwave on high for 5 minutes, turn potatoes over, and microwave another 3 to 5 minutes, or until easily pierced with a fork. Set aside.;In a microwave-safe bowl, combine the beans, salsa and corn. Cover and cook on high for 2 to 3 minutes, stirring halfway though cooking time, until heated through.;Cut the potatoes lengthwise and flatten them with a fork. Divide the bean mixture among the halves. Sprinkle with cheese and serve.",https://www.willcookforfriends.com/wp-content/uploads/2016/12/Southwest-Stuffed-Sweet-Potatoes-web-10.jpg,1,15 minutes,"Hearty and full of flavor, this one-pan skillet meal combines tender beef with colorful veggies for a quick and satisfying dinner the whole family will love."
4,Buttermilk Scones,1 cup;¾ cup;⅓ cup;1 teaspoon;½ teaspoon;¼ teaspoon;1 cup;¼ cup;⅔ cup,whole-wheat flour;all-purpose flour;sugar;baking powder;baking soda;salt;raisins;margarine;buttermilk,"Preheat oven to 400 degrees F.;Combine the flours, sugar, baking powder, baking soda and salt in a medium bowl. Mix well.;Add the dried fruit and mix lightly.;In a small bowl, combine the melted margarine or butter and buttermilk.;Add the liquids to the dry ingredients and mix gently.;On a greased baking sheet, spoon the dough into 9 equal mounds.;Bake until golden brown, 18 to 20 minutes.;Serve hot or at room temperature.",,1,20 minutes,"Bold and zesty, these baked potatoes are loaded with a savory mix of beans, corn, peppers, and spices for a satisfying Southwestern-inspired twist on comfort food."